	label	sentence	pos	v_index
0	label	sentence	pos	v_index
1	1	Latest corporate unbundler reveals laid-back approach:  Roland Franklin,  who is leading a 697m pound break-up bid for DRG,  talks Frank Kane	verb	3
2	1	Latest corporate unbundler reveals laid-back approach:  Roland Franklin,  who is leading a 697m pound break-up bid for DRG,  talks Frank Kane	verb	5
3	1	Latest corporate unbundler reveals laid-back approach:  Roland Franklin,  who is leading a 697m pound break-up bid for DRG,  talks Frank Kane	verb	10
4	1	IT SEEMS that Roland Franklin,  the latest unbundler to appear in the UK,  has made a fatal error the preparation of his £697m break-up bid for stationery and packaging group DRG.	verb	14
5	1	IT SEEMS that Roland Franklin,  the latest unbundler to appear in the UK,  has made a fatal error the preparation of his £697m break-up bid for stationery and packaging group DRG.	verb	16
6	1	He has not properly investigated the target 's dining facilities.	verb	6
7	1	The 63-year-old head of Pembridge Investments,  which the bid is being mounted says,  ‘ rule number one business is:  the more luxurious the luncheon rooms at headquarters,  the more inefficient the business ’.	verb	2
8	1	The 63-year-old head of Pembridge Investments,  which the bid is being mounted says,  ‘ rule number one business is:  the more luxurious the luncheon rooms at headquarters,  the more inefficient the business ’.	verb	12
9	1	The 63-year-old head of Pembridge Investments,  which the bid is being mounted says,  ‘ rule number one business is:  the more luxurious the luncheon rooms at headquarters,  the more inefficient the business ’.	verb	15
10	1	The 63-year-old head of Pembridge Investments,  which the bid is being mounted says,  ‘ rule number one business is:  the more luxurious the luncheon rooms at headquarters,  the more inefficient the business ’.	verb	29
11	1	If he had taken his own rule seriously,  he would have found out that DRG has a very modest self-service canteen at its Bristol head office.	verb	3
12	1	If he had taken his own rule seriously,  he would have found out that DRG has a very modest self-service canteen at its Bristol head office.	verb	24
13	1	There are other things he has,  his own admission,  not fully investigated,  like the value of the DRG properties,  or which part of the DRG business he would keep the break up.	verb	3
14	1	There are other things he has,  his own admission,  not fully investigated,  like the value of the DRG properties,  or which part of the DRG business he would keep the break up.	verb	9
15	1	There are other things he has,  his own admission,  not fully investigated,  like the value of the DRG properties,  or which part of the DRG business he would keep the break up.	verb	22
16	1	There are other things he has,  his own admission,  not fully investigated,  like the value of the DRG properties,  or which part of the DRG business he would keep the break up.	verb	29
