	Unnamed: 0	label	sentence	pos	v_index
0	0	1	If he had taken his own rule seriously,  he would have found out that DRG has a very modest self-service canteen at its Bristol head office.	verb	18
1	1	1	Alongwith Sir James he found the US much more attractive,  taking over and breaking some fairly hefty US corporations.	verb	17
2	2	1	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life the early 1980s.	verb	12
3	3	1	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life the early 1980s.	verb	15
4	4	1	a takeover campaign that has already seen vitriolic language,  he responds the charge that he is mounting the bid to enrich himself and his friends by saying:  ‘ Nobody could take as a criticism—  is an investor group.	verb	18
5	5	1	clause has never yet been activated.	verb	6
6	6	1	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid the wages of age group to entice young people education and unskilled or semi- skilled jobs.	verb	29
7	7	1	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid the wages of age group to entice young people education and unskilled or semi- skilled jobs.	verb	30
8	8	1	Only then will two vitally important and complementary goals be achieved:  to improve Britain 's general educational and vocational competence,  and hence our productive capacity;  and to reduce our gross educational inequalities the elite who receive a narrow education a very high standard,  and the rest.	verb	18
9	9	1	Sir:  Labour does not need a commitment proportional representation inorder to scoop most of the centre ground the general election.	verb	12
10	10	1	Sir:  If Labour is to suggest the setting of a specialist labour court ( 30 September ),  then such a momentous change the industrial relations system deserves more discussion,  and needs to be taken the hot-house of Labour Party conference politics.	verb	38
11	11	1	Second,  it would ensure that workers enjoyed positive rights law and reduce the emphasis of union immunities.	verb	17
12	12	1	Labour law will always reflect the balance of power society,  and a fully fledged labour court system will not remove class and fundamental employer-employee differences.	verb	4
13	13	1	Labour law will always reflect the balance of power society,  and a fully fledged labour court system will not remove class and fundamental employer-employee differences.	verb	14
14	14	1	But it should be possible to create and enforce enough common rules to prevent the absurd see-sawing of industrial relations legislation we have seen since 1969.	verb	16
15	15	1	The supposedly jokey answers are illustrated by photographs of people sleeping outside covered by copies of The Independent:  they look of the of visitors come Crypt Centre for homeless people day.	verb	33
16	16	1	Now,  it would appear article,  that ideal is shattered and a -tiered Europe is the cards.	verb	11
17	17	1	Now,  it would appear article,  that ideal is shattered and a -tiered Europe is the cards.	verb	14
18	18	1	is a clear example of the extension of the Prevention of Terrorism Act criteria for stopping,  questioning and searching are purely subjective the official involved.	verb	7
19	19	1	is a recipe for fear and anxiety.	verb	3
20	20	1	Montenegro 's sudden rehabilitation of Nicholas 's memory is a popular move.	verb	3
21	21	1	For a man whom Rebecca West,  a contemporary Balkan observer,  called ‘ repulsive ’ and ‘ treacherous ’ for deserting his Serbian son-in-law,  King Alexander,  the First World War,  it is a tinted view of history.	verb	12
22	22	1	furthered his long-term ambition to rule a large ‘ south Slav ’ kingdom when the Ottoman Empire finally collapsed.	verb	19
23	23	1	influences laid the foundations for the blend of the naive and the sophisticated which is the hallmark of Thomson 's maturity.	verb	17
24	24	1	Four Saints Thomson 's informality was given free reign since he first of all improvised the music at the piano then,  when it stuck,  wrote it down a figured bass.	verb	30
25	25	1	He said:  ‘ I had wondered whether a piece so drenched Anglican chant ( running Gilbert and Sullivan Morning Prayer and back ) could rise and sail. ’	verb	29
26	26	1	But the resulting mixture of hymns,  folksy tunes and recitatives—  times of intoxicating banality—  was a sensation.	verb	13
27	27	1	Just as Thomson transferred Stein 's literary abstraction music,  so portraits unusually employ the painter 's technique of drawing the sitter life:  an ideal combination of Thomson 's habit of immediate response an actual subject.	verb	22
28	28	1	The results are terse and sharply etched,  the best line drawings.	verb	3
29	29	1	The results are terse and sharply etched,  the best line drawings.	verb	6
30	30	1	He started by writing occasional articles but 1939 he wrote The State of Music,  a trenchant and provocative assessment of the machinery of the musical profession the time.	verb	19
31	31	1	He started by writing occasional articles but 1939 he wrote The State of Music,  a trenchant and provocative assessment of the machinery of the musical profession the time.	verb	22
32	32	1	As both composer and critic he touched both sides of the coin:  A climate of receptivity is what the artist most desires.	verb	6
33	33	1	He fearlessly attacked convention,  which caused problems when he pitched established reputations.	verb	9
34	34	1	It has become increasingly apparent that Thomson belonged the American experimental tradition.	verb	7
35	35	1	There are Stein settings,  suchas ‘ Portrait of FB ’,  but also cycles suchas Five Songs from William Blake,  Prayers and Praises and a cantata based poems by Edward Lear.	verb	6
36	36	1	There are Stein settings,  suchas ‘ Portrait of FB ’,  but also cycles suchas Five Songs from William Blake,  Prayers and Praises and a cantata based poems by Edward Lear.	verb	12
37	37	1	From there,  a buzzard its eyrie,  he would make forays round the US and abroad inspiteof his advanced age.	verb	4
38	38	1	From there,  a buzzard its eyrie,  he would make forays round the US and abroad inspiteof his advanced age.	verb	7
39	39	1	From there,  a buzzard its eyrie,  he would make forays round the US and abroad inspiteof his advanced age.	verb	11
40	40	1	He seemed a genial and indestructible landmark the history of American music,  inspiteof defective hearing which had bothered him since the late Seventies.	verb	5
41	41	1	He seemed a genial and indestructible landmark the history of American music,  inspiteof defective hearing which had bothered him since the late Seventies.	verb	6
42	42	1	He did not loosen his links the athletes when projected upwards the Presidency.	verb	10
43	43	1	As a rich,  forceful young man,  Keller had been earmarked as a likely future president,  even before Mullegg was killed an aircrash 1958.	verb	9
44	44	1	Keller was made a Steward of Henley Royal Regatta 1976,  a time when the proliferation of new -lane,  still-water courses around the world,  which had emerged his guidance,  seemed a threat the regatta founded 1829.	verb	18
45	45	1	But it was the spirit of Henley,  huge crowds enjoying amateur sport,  presented administrative finesse,  which Keller took as the yardstick for the international circuit.	verb	22
46	46	1	But it was the spirit of Henley,  huge crowds enjoying amateur sport,  presented administrative finesse,  which Keller took as the yardstick for the international circuit.	verb	26
47	47	1	He loved the place and he returned every year to play an often small part as umpire of races undistinguished clubs far the Olympic standard he was obliged to administer.	verb	16
48	48	1	He loved the place and he returned every year to play an often small part as umpire of races undistinguished clubs far the Olympic standard he was obliged to administer.	verb	26
49	49	1	During his term as President of FISA he gradually reduced his role Eduard Keller Ltd and used the company offices to provide a world headquarters for rowing.	verb	25
50	50	1	The sport is now obliged to find income the more normal sources of television and sponsorship,  to replace his largely unacknowledged private patronage.	verb	4
51	51	1	The final task he set himself for his Presidency,  which was due to end next year,  was to weed the Regatta calendar all the rowing courses which could be made unfair by the wind.	verb	18
52	52	1	The Labour Party Conference:  Policy review throws a spanner the Whitehall machinery	verb	8
53	53	1	AN INCOMING Labour government would turn large areas of Whitehall upsidedown—  but the party 's policy review barely considers the implications of its plans for restructuring government departments.	verb	10
54	54	1	The only department which explicitly escapes unscathed is the one which Conservatives would most like to abolish:  the Department of Energy.	verb	5
55	55	1	Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine.	verb	3
56	56	1	Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine.	verb	20
57	57	1	The ‘ medium term industrial strategy ’ which would form the centrepiece of Labour 's economic policy would,  accordingto the Productive and Competitive Economy review group,  be ‘ administered by a transformed Department of Trade and Industry ’.	verb	11
58	58	1	approach would seek to knock a keystone of Civil Service tradition.	verb	8
59	59	1	But while the DTI would override the Treasury,  a new ‘ powerful Department of Consumer Affairs ’ would antagonise the DTI.	verb	5
60	60	1	But while the DTI would override the Treasury,  a new ‘ powerful Department of Consumer Affairs ’ would antagonise the DTI.	verb	18
61	61	1	The concept of a minister Cabinet rank—  and therefore implicitly not being a member of the Cabinet proper—  crops up again environment.	verb	14
62	62	1	some cases Labour 's quangos merge existing ones,  or replace well-established bodies.	verb	12
63	63	1	It would also be necessary ‘ to smash the decrepit,  effete constitution that allows a minority to capture power,  and then use it ruthlessly the interests of the privileged few ’.	verb	7
64	64	1	It would also be necessary ‘ to smash the decrepit,  effete constitution that allows a minority to capture power,  and then use it ruthlessly the interests of the privileged few ’.	verb	10
65	65	1	Mr Cook argued that 10 years of Thatcherism had been forced most people,  who had never voted Conservative,  and that many of those who opposed PR the Labour Party wanted to use the same undemocratic power ‘ to ram socialism the throats of a majority who did n't vote for it ’.	verb	44
66	66	1	Labour would be acquiescing a ‘ democratic outrage ’ if it continued arguing that,  because the Conservatives had got away with being undemocratic for so long,  it was now Labour 's turn.	verb	3
67	67	1	Mr Cook also countered the argument that PR would build a pull the centre ground,  preventing Labour implementing a radical programme.	verb	22
68	68	1	‘ I can not honestly see that a system which would require us to compromise the morning the election is really so morally inferior a system which has already obliged us to compromise our policies two years polling day. ’	verb	31
69	69	1	Mr Livingstone said he was pacts,  but 10 years of Thatcherism had demonstrated the dangers of giving power elites.	verb	18
70	70	1	Mr Kinnock said it was wrong to propose a fundamental change the voting system for a short-term tactical vote to get rid of the Thatcher Government.	verb	18
71	71	1	Mr Kinnock intends to reinforce his conviction that Labour is a position to win his keynote speech tomorrow.	verb	6
72	72	1	Party organisers want the conference to show that the party is united as never before,  leaving Mr Kinnock free for the first time to sell the policy package voters worrying splits.	verb	33
73	73	1	PUB ROCK / Pint-sized rock ‘ n ’ rollers:  Jim White selects the best of the London pub venues and gigs the weeks ahead	verb	3
