	label	sentence	pos	v_index
0	1	If he had taken his own rule seriously,  he would have found out that DRG has a very modest self-service canteen at its Bristol head office.	verb	18
1	1	Alongwith Sir James he found the US much more attractive,  taking over and breaking up some fairly hefty US corporations.	verb	17
2	1	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s.	verb	12
3	1	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s.	verb	15
4	1	In a takeover campaign that has already seen vitriolic language,  he responds to the charge that he is mounting the bid to enrich himself and his friends by saying:  ‘ Nobody could take that as a criticism—  this is an investor group.	verb	18
5	1	This clause has never yet been activated.	verb	6
6	1	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people awayfrom education and into unskilled or semi- skilled jobs.	verb	29
7	1	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people awayfrom education and into unskilled or semi- skilled jobs.	verb	30
8	1	Only then will two vitally important and complementary goals be achieved:  to improve Britain 's general educational and vocational competence,  and hence our productive capacity;  and to reduce our gross educational inequalities between the elite who receive a narrow education to a very high standard,  and the rest.	verb	18
9	1	Sir:  Labour does not need a commitment to proportional representation inorder to scoop most of the centre ground at the next general election.	verb	12
10	1	Sir:  If Labour is to suggest the setting up of a specialist labour court ( 30 September ),  then such a momentous change in the industrial relations system deserves more discussion,  and needs to be taken outof the hot-house of Labour Party conference politics.	verb	38
11	1	Second,  it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities.	verb	17
12	1	Labour law will always reflect the balance of power in society,  and a fully fledged labour court system will not remove class and fundamental employer-employee differences.	verb	4
13	1	Labour law will always reflect the balance of power in society,  and a fully fledged labour court system will not remove class and fundamental employer-employee differences.	verb	14
14	1	But it should be possible to create and enforce enough common rules to prevent the absurd see-sawing of industrial relations legislation we have seen since 1969.	verb	16
15	1	The supposedly jokey answers are illustrated by photographs of people sleeping outside covered by copies of The Independent:  they look like some of the hundreds of visitors who come to St Botolph s Crypt Centre for homeless people every day.	verb	33
